name,team,age,weight,draft_round,draft_number,gp,pts,reb,ast,netrtg,oreb,dreb,usg,ts,astperc
Austin Rivers,LAC,25,18-Jul,First Round,10,60,15.3,2.4,3.9,-1.9,0.02,0.07,0.21,0.53,0.18
Danilo Gallinari,LAC,29,12-Aug,First Round,6,21,15.3,4.8,2,0.3,0.01,0.15,0.21,0.55,0.1
Isaiah Thomas,LAL,29,3-Jul,Second Round,60,32,15.2,2.1,4.8,-7,0.02,0.06,0.28,0.51,0.27
Dennis Smith Jr.,DAL,20,Jul-00,First Round,9,69,15.2,3.8,5.2,-8.1,0.03,0.12,0.29,0.47,0.3
Lauri Markkanen,CHI,20,Aug-00,First Round,7,66,15.2,7.5,1.2,-10,0.04,0.24,0.22,0.55,0.06
Paul Millsap,DEN,33,2-Sep,Second Round,47,36,15,6.4,2.9,4.5,0.06,0.17,0.23,0.56,0.15
Andre Drummond,DET,24,5-Oct,First Round,9,78,15,16,3,-1.1,0.16,0.37,0.21,0.56,0.14
Reggie Jackson,DET,27,26-Jul,First Round,24,44,14.8,2.8,5.2,-0.6,0.03,0.09,0.27,0.52,0.33
Otto Porter Jr.,WAS,24,16-Jul,First Round,3,76,14.8,6.4,2,5,0.05,0.18,0.19,0.6,0.1
Rodney Hood,CLE,25,24-Jul,First Round,23,60,14.7,2.8,1.6,-1.4,0.02,0.1,0.25,0.55,0.1
Dario Saric,PHI,24,10-Aug,First Round,12,76,14.7,6.8,2.6,6.3,0.08,0.17,0.21,0.58,0.13
Zach Randolph,SAC,36,6-Sep,First Round,19,59,14.5,6.7,2.2,-13.3,0.07,0.24,0.28,0.53,0.15
Avery Bradley,LAC,27,28-Jun,First Round,19,46,14.3,2.5,2,-3.8,0.02,0.08,0.23,0.5,0.11
Jaylen Brown,BOS,21,12-Aug,First Round,3,69,14.3,5,1.6,7.3,0.04,0.14,0.21,0.56,0.08
Rondae Hollis-Jefferson,BKN,23,1-Aug,First Round,23,66,14.3,6.8,2.4,-3.3,0.06,0.2,0.22,0.55,0.14
Bojan Bogdanovic,IND,28,17-Aug,Second Round,31,80,14.3,3.4,1.5,2.4,0.01,0.11,0.19,0.61,0.07
Dion Waiters,MIA,26,2-Aug,First Round,4,30,14.3,2.6,3.8,-4.7,0.01,0.09,0.25,0.49,0.21
Jusuf Nurkic,POR,23,6-Oct,First Round,16,77,14.3,8.8,1.8,3.4,0.1,0.26,0.26,0.53,0.12
Enes Kanter,NYK,25,1-Sep,First Round,3,71,14.1,11,1.5,-6.2,0.17,0.31,0.22,0.63,0.09
Hassan Whiteside,MIA,28,21-Sep,Second Round,33,52,14,11.5,1,-2.2,0.13,0.35,0.24,0.58,0.07
Jordan Clarkson,CLE,25,12-Jul,Second Round,46,79,14,2.7,2.7,-0.7,0.03,0.09,0.26,0.54,0.19
Jeff Teague,MIN,29,7-Jul,First Round,19,68,14,3,7,2.4,0.01,0.09,0.2,0.55,0.3
Taurean Prince,ATL,24,7-Aug,First Round,12,81,14,4.8,2.6,-7.1,0.02,0.16,0.22,0.55,0.13
Clint Capela,HOU,23,27-Aug,First Round,25,73,13.9,10.8,0.9,9.2,0.13,0.31,0.19,0.65,0.06
Jayson Tatum,BOS,20,23-Jul,First Round,3,79,13.9,5.1,1.6,7,0.02,0.16,0.2,0.59,0.08
Jonathon Simmons,ORL,28,13-Jul,Undrafted,Undrafted,69,13.9,3.5,2.5,-7.2,0.03,0.1,0.22,0.56,0.13
Steven Adams,OKC,24,11-Sep,First Round,12,74,13.9,9.1,1.2,4.7,0.17,0.14,0.16,0.63,0.05
Kentavious Caldwell-Pope,LAL,25,23-Jul,First Round,8,72,13.7,5.3,2.2,-0.9,0.03,0.14,0.17,0.57,0.09
Marcus Morris,BOS,28,22-Aug,First Round,14,53,13.7,5.4,1.3,0.2,0.03,0.19,0.23,0.55,0.08
Rudy Gobert,UTA,25,1-Sep,First Round,27,54,13.5,10.8,1.4,7.9,0.1,0.27,0.17,0.66,0.07
DeMarre Carroll,BKN,31,2-Aug,First Round,27,73,13.5,6.6,2,-2.6,0.05,0.18,0.2,0.55,0.11
Kris Dunn,CHI,24,28-Jul,First Round,5,52,13.4,4.3,6,-9.1,0.02,0.14,0.25,0.49,0.32
Buddy Hield,SAC,24,1-Aug,First Round,6,78,13.4,3.8,1.9,-3.7,0.03,0.15,0.24,0.56,0.13
Malcolm Brogdon,MIL,25,2-Aug,Second Round,36,46,13.3,3.3,3.2,-0.4,0.02,0.11,0.19,0.58,0.17
Bobby Portis,CHI,23,4-Sep,First Round,22,71,13.2,6.8,1.7,-2.3,0.1,0.23,0.26,0.55,0.13
Michael Beasley,NYK,29,22-Aug,First Round,2,72,13.1,5.6,1.6,-5.5,0.06,0.22,0.27,0.56,0.12
