name,team,age,weight,draft_round,draft_number,gp,pts,reb,ast,netrtg,oreb%,dreb%,usg%,ts%,ast%
James Harden,HOU,28,220,First Round,3,71,30.6,5.4,8.7,10,1.90%,15.40%,36.20%,62.00%,44.80%
Anthony Davis,NOP,25,253,First Round,1,73,28.2,11.1,2.3,4.7,7.70%,24.20%,29.60%,61.40%,10.60%
LeBron James,CLE,33,250,First Round,1,80,27.7,8.7,9.2,1.5,3.70%,22.50%,31.60%,62.10%,43.20%
Giannis Antetokounmpo,MIL,23,222,First Round,15,74,27.1,10,4.8,4,6.70%,24.80%,31.20%,60.00%,23.60%
Damian Lillard,POR,27,195,First Round,6,71,26.8,4.5,6.6,5.1,2.60%,10.80%,30.10%,59.50%,30.00%
Kevin Durant,GSW,29,240,First Round,2,67,26.6,6.9,5.4,9.7,1.70%,19.20%,30.00%,64.20%,24.40%
Stephen Curry,GSW,30,190,First Round,7,51,26.4,5.1,6.1,14.7,2.70%,14.10%,29.70%,67.50%,27.20%
Russell Westbrook,OKC,29,200,First Round,4,78,25.6,9.8,10.1,5.3,5.40%,24.90%,33.40%,52.50%,46.00%
DeMarcus Cousins,NOP,27,270,First Round,5,48,25.2,12.9,5.4,1.8,7.10%,32.50%,32.40%,58.30%,24.10%
Devin Booker,PHX,21,210,First Round,13,54,24.9,4.5,4.7,-10.1,1.50%,12.60%,30.90%,56.10%,23.30%
Kyrie Irving,BOS,26,193,First Round,1,60,24.4,3.8,5.1,5.2,1.90%,10.70%,30.70%,61.00%,28.20%
MarShon Brooks,MEM,29,200,First Round,25,5,23.6,3.4,3.6,4.1,6.00%,8.70%,28.20%,71.10%,22.00%
LaMarcus Aldridge,SAS,32,260,First Round,2,73,23.4,8.4,2.1,6.3,10.80%,17.20%,29.40%,57.40%,11.10%
Victor Oladipo,IND,25,210,First Round,2,75,23.1,5.2,4.3,6.4,2.10%,14.60%,30.00%,57.70%,20.90%
DeMar DeRozan,TOR,28,220,First Round,9,79,23.1,3.9,5.2,7,2.50%,10.20%,29.20%,55.60%,24.70%
Joel Embiid,PHI,24,250,First Round,3,63,22.9,11,3.2,11.6,8.70%,28.90%,33.90%,57.30%,18.20%
Bradley Beal,WAS,24,207,First Round,3,80,22.8,4.4,4.6,2.5,2.40%,11.20%,27.80%,56.70%,20.60%
Kristaps Porzingis,NYK,22,240,First Round,4,48,22.7,6.6,1.2,0.1,4.50%,17.30%,31.10%,53.90%,6.30%
Lou Williams,LAC,31,175,Second Round,45,79,22.6,2.5,5.3,0.6,1.70%,6.60%,29.20%,57.40%,25.40%
Kemba Walker,CHA,27,184,First Round,9,79,22.2,3.1,5.6,3.1,1.30%,8.50%,27.40%,57.10%,26.40%
Jimmy Butler,MIN,28,236,First Round,30,57,22.1,5.4,4.9,8,4.20%,12.70%,24.90%,59.00%,20.50%
Paul George,OKC,27,220,First Round,10,77,21.6,5.7,3.4,2.7,2.70%,15.10%,25.30%,56.50%,14.40%
CJ McCollum,POR,26,190,First Round,10,79,21.5,3.9,3.4,1.8,1.80%,10.10%,26.50%,53.80%,15.60%
Blake Griffin,DET,29,251,First Round,1,58,21.4,7.4,5.8,1.9,4.00%,19.50%,28.90%,54.40%,28.60%
Karl-Anthony Towns,MIN,22,248,First Round,1,80,21.2,12.3,2.4,5.5,9.40%,30.30%,22.90%,64.40%,10.50%
Donovan Mitchell,UTA,21,215,First Round,13,77,20.5,3.7,3.7,5.9,2.20%,10.30%,28.80%,54.20%,19.00%
Khris Middleton,MIL,26,234,Second Round,39,80,20.4,5.3,4,2,1.80%,15.10%,24.60%,58.00%,17.10%
Klay Thompson,GSW,28,215,First Round,11,72,20,3.8,2.6,10.6,1.50%,10.20%,23.50%,60.30%,10.90%
TJ Warren,PHX,24,215,First Round,14,65,19.6,5.1,1.3,-9.5,6.20%,10.50%,24.90%,54.10%,6.90%
Dennis Schroder,ATL,24,172,First Round,17,67,19.4,3.1,6.2,-6.6,2.40%,9.00%,30.50%,51.50%,35.20%
Tyreke Evans,MEM,28,220,First Round,4,52,19.4,5.1,5.2,0.3,3.20%,15.60%,28.60%,56.10%,30.40%
John Wall,WAS,27,210,First Round,1,40,19.2,3.6,9.5,3.6,1.80%,9.60%,28.50%,51.00%,42.20%
Jrue Holiday,NOP,27,205,First Round,17,79,19.1,4.5,5.9,5.2,2.40%,10.90%,23.00%,56.80%,24.00%
Harrison Barnes,DAL,25,225,First Round,7,77,18.9,6.1,2,-5.9,3.10%,17.20%,25.30%,53.90%,10.10%
Tobias Harris,LAC,25,235,First Round,19,78,18.6,5.4,2.4,-1.9,2.30%,16.20%,23.10%,56.50%,11.40%
Chris Paul,HOU,32,175,First Round,4,57,18.6,5.4,7.9,13,2.40%,17.10%,24.90%,60.10%,38.80%
Nikola Jokic,DEN,23,250,Second Round,41,73,18.3,10.6,6.1,4.3,9.30%,28.20%,24.10%,60.50%,28.60%
Eric Gordon,HOU,29,215,First Round,7,68,18.2,2.5,2.2,12.8,1.30%,7.50%,24.50%,58.00%,11.30%
Jeremy Lin,BKN,29,200,Undrafted,Undrafted,1,18,0,4,-11.8,0.00%,0.00%,26.10%,59.70%,23.50%
